Ligand;Grid;Run;dG;VS
CP-1;26;4;-4.74911;-5.82599
CP-1;26;5;-4.9677;-5.96351
CP-1;26;6;-4.32254;-5.92077
CP-1;26;7;-4.79635;-5.71166
CP-1;26;8;-3.54628;-5.05706
CP-1;26;9;-3.4446;-5.35011
CP-1;26;10;-4.43831;-6.10285
CP-1;27;1;-5.51198;-6.69433
CP-1;27;2;-4.29009;-5.69247
CP-1;27;3;-5.42198;-6.72849
CP-1;27;4;-5.22595;-6.05227
CP-1;27;5;-5.13871;-6.03901
CP-1;27;6;-5.19457;-6.09157
CP-1;27;7;-5.35543;-6.33465
CP-1;27;8;-4.96545;-6.24584
CP-1;27;9;-5.3762;-6.2125
CP-1;27;10;-5.7516;-6.82421
CP-1;28;1;-4.48606;-5.36131
CP-1;28;2;-5.01973;-5.97302
CP-1;28;3;-4.1692;-5.14108
CP-1;28;4;-4.45745;-5.22908
CP-1;28;5;-4.24951;-5.05087
CP-1;28;6;-4.47033;-5.32351
CP-1;28;7;-4.45387;-5.22127
CP-1;28;8;-4.26571;-5.14527
CP-1;28;9;-4.25206;-5.05793
CP-1;28;10;-4.83448;-5.76028
CP-1;29;1;-7.36076;-8.37333
CP-1;29;2;-6.2679;-7.70928
CP-1;29;3;-7.19203;-8.13747
CP-1;29;4;-5.91512;-7.19989
CP-1;29;5;-6.97314;-7.97736
CP-1;29;6;-6.73477;-7.61423
CP-1;29;7;-7.48547;-8.56747
CP-1;29;8;-5.65555;-7.16393
CP-1;29;9;-6.73579;-7.85372
CP-1;29;10;-6.87646;-7.8316
CP-1;3;1;-5.31204;-6.39686
CP-1;3;2;-5.519;-6.50269
CP-1;3;3;-5.09805;-6.13723
CP-1;3;4;-5.48227;-6.52383
CP-1;3;5;-5.41593;-6.34201
CP-1;3;6;-4.98956;-6.11292
CP-1;3;7;-5.53362;-6.56773
CP-1;3;8;-5.55538;-6.59603
CP-1;3;9;-5.29449;-6.28632
CP-1;3;10;-4.71569;-5.79581
CP-1;30;1;-5.29812;-6.44303
CP-1;30;2;-5.32646;-6.26212
CP-1;30;3;-5.31482;-6.23792
CP-1;30;4;-5.09211;-6.35112
CP-1;30;5;-5.08124;-5.9476
CP-1;30;6;-5.03991;-6.0979
CP-1;30;7;-4.99458;-6.18264
CP-1;30;8;-5.2548;-6.3961
CP-1;30;9;-5.26008;-6.38158
CP-1;30;10;-4.6329;-5.93358
CP-1;31;1;-5.014;-6.34634
CP-1;31;2;-4.89978;-6.19607
CP-1;31;3;-4.94421;-6.09711
CP-1;31;4;-4.50416;-5.63524
CP-1;31;5;-4.6596;-5.87674
CP-1;31;6;-4.66747;-5.92123
CP-1;31;7;-4.85142;-6.04708
CP-1;31;8;-4.40868;-5.55592
CP-1;31;9;-4.56099;-5.8048
CP-1;31;10;-5.2252;-6.40671
CP-1;32;1;-4.88586;-5.85959
CP-1;32;2;-5.32258;-6.34075
CP-1;32;3;-5.07455;-5.92299
CP-1;32;4;-5.60348;-6.54645
CP-1;32;5;-5.04461;-5.91614
CP-1;32;6;-5.5016;-6.40215
CP-1;32;7;-4.89117;-5.79871
CP-1;32;8;-5.24478;-6.25941
CP-1;32;9;-5.13796;-6.18655
CP-1;32;10;-5.13003;-6.05894
CP-1;33;1;-4.56881;-5.42564
CP-1;33;2;-5.02328;-5.77965
CP-1;33;3;-4.39392;-5.74252
CP-1;33;4;-4.74437;-5.66364
CP-1;33;5;-5.05473;-5.84591
CP-1;33;6;-4.74392;-5.59845
CP-1;33;7;-5.23839;-6.03533
CP-1;33;8;-4.73337;-5.90888
CP-1;33;9;-4.63292;-5.50763
CP-1;33;10;-5.26723;-6.07119
CP-1;34;1;-4.89778;-5.73161
CP-1;34;2;-4.50233;-5.36131
CP-1;34;3;-4.13541;-5.54001
CP-1;34;4;-4.93016;-5.76731
CP-1;34;5;-4.09203;-5.19054
CP-1;34;6;-4.87269;-5.70325
CP-1;34;7;-4.55809;-5.21099
CP-1;34;8;-4.60093;-5.77318
CP-1;34;9;-4.68179;-5.86868
CP-1;34;10;-3.6093;-5.06602
CP-1;35;1;-5.20761;-6.02966
CP-1;35;2;-5.35121;-6.17699
CP-1;35;3;-5.36153;-6.13665
CP-1;35;4;-5.35089;-6.14712
CP-1;35;5;-5.47441;-6.26609
CP-1;35;6;-5.47183;-6.24653
CP-1;35;7;-5.53541;-6.30791
CP-1;35;8;-5.46633;-6.2753
CP-1;35;9;-5.29103;-6.09572
CP-1;35;10;-5.6182;-6.37303
CP-1;36;1;-3.53366;-4.7685
CP-1;36;2;-4.33409;-5.34094
CP-1;36;3;-3.72523;-4.68071
CP-1;36;4;-3.91321;-4.96191
CP-1;36;5;-4.35145;-5.21359
CP-1;36;6;-3.72912;-4.87255
CP-1;36;7;-4.2014;-5.32975
CP-1;36;8;-4.44421;-5.24475
CP-1;36;9;-3.97126;-4.9814
CP-1;36;10;-4.1349;-5.20951
CP-1;37;1;-4.11194;-5.3955
CP-1;37;2;-3.78695;-5.04582
CP-1;37;3;-4.50031;-5.57326
CP-1;37;4;-4.36394;-5.14563
CP-1;37;5;-4.14668;-5.1498100000000004
CP-1;37;6;-4.41966;-5.46603
CP-1;37;7;-4.32278;-5.41043
CP-1;37;8;-4.10499;-5.11711
CP-1;37;9;-3.74988;-4.96345
CP-1;37;10;-4.38479;-5.39023
CP-1;38;1;-4.10343;-5.23628
CP-1;38;2;-4.38553;-5.39608
CP-1;38;3;-4.43544;-5.47749
CP-1;38;4;-3.93306;-4.77693
CP-1;38;5;-4.11846;-5.06199
CP-1;38;6;-4.58517;-5.59065
CP-1;38;7;-4.13577;-5.01632
CP-1;38;8;-4.43948;-5.36537
CP-1;38;9;-4.25577;-5.4944
CP-1;38;10;-4.05595;-4.98
CP-1;39;1;-4.2727;-5.27701
CP-1;39;2;-4.25609;-5.30433
CP-1;39;3;-4.40264;-5.50806
CP-1;39;4;-4.52956;-5.52677
CP-1;39;5;-4.22741;-5.67748
CP-1;39;6;-3.77324;-5.01478
CP-1;39;7;-4.21155;-5.63399
CP-1;39;8;-4.27887;-5.65536
CP-1;39;9;-4.28046;-5.72664
CP-1;39;10;-4.28741;-5.6351
CP-1;4;1;-4.45583;-5.42365
CP-1;4;2;-5.00139;-6.11876
CP-1;4;3;-4.6268;-5.77924
CP-1;4;4;-4.46639;-5.42549
CP-1;4;5;-3.75727;-5.11086
CP-1;4;6;-3.98155;-5.09411
CP-1;4;7;-4.06912;-4.91997
CP-1;4;8;-4.72399;-5.79625
CP-1;4;9;-4.29981;-5.49789
CP-1;4;10;-5.05835;-6.18554
CP-1;40;1;-4.94214;-5.79589
CP-1;40;2;-4.77336;-5.77128
CP-1;40;3;-4.95021;-5.82067
CP-1;40;4;-4.90451;-5.82355
CP-1;40;5;-4.93547;-5.8802
CP-1;40;6;-4.82316;-5.78608
CP-1;40;7;-4.93662;-5.82568
CP-1;40;8;-4.82088;-5.63668
CP-1;40;9;-4.36298;-5.23916
CP-1;40;10;-4.87374;-5.69329
CP-1;41;1;-4.13656;-5.32907
CP-1;41;2;-4.42515;-5.42542
CP-1;41;3;-4.30121;-5.2665
CP-1;41;4;-4.32633;-5.53746
CP-1;41;5;-4.41585;-5.56225
CP-1;41;6;-4.25158;-5.19388
CP-1;41;7;-3.93625;-4.93695
CP-1;41;8;-4.47213;-5.49776
CP-1;41;9;-3.88886;-5.07916
CP-1;41;10;-4.2774;-5.51903
CP-1;42;1;-4.395;-5.32547
CP-1;42;2;-4.68161;-5.47676
CP-1;42;3;-5.20654;-5.70455
CP-1;42;4;-4.50698;-5.34393
CP-1;42;5;-4.23669;-5.26805
CP-1;42;6;-5.3636;-6.29552
CP-1;42;7;-5.20825;-6.05887
CP-1;42;8;-4.68136;-5.3961
CP-1;42;9;-4.73781;-5.71443
CP-1;42;10;-4.63365;-5.21065
CP-1;43;1;-4.24136;-5.12544
CP-1;43;2;-4.66678;-5.78779
CP-1;43;3;-4.62244;-5.88172
CP-1;43;4;-4.57405;-5.48481
CP-1;43;5;-4.57695;-5.54085
CP-1;43;6;-3.87326;-4.89807
CP-1;43;7;-4.93239;-6.07682
CP-1;43;8;-4.46661;-5.42352
CP-1;43;9;-3.91713;-4.80383
CP-1;43;10;-4.61601;-5.55045
CP-1;44;1;-4.12067;-5.19677
CP-1;44;2;-4.37664;-5.47293
CP-1;44;3;-4.9244;-5.94661
CP-1;44;4;-4.71916;-5.69167
CP-1;44;5;-5.047;-6.15036
CP-1;44;6;-4.73267;-5.877
CP-1;44;7;-4.50122;-5.65292
CP-1;44;8;-4.92635;-5.93311
CP-1;44;9;-5.03606;-6.17562
CP-1;44;10;-4.05747;-4.90408
CP-1;45;1;-5.61649;-6.46079
CP-1;45;2;-5.13902;-6.29404
CP-1;45;3;-5.20765;-6.37154
CP-1;45;4;-5.52155;-6.32458
CP-1;45;5;-4.90805;-6.12153
CP-1;45;6;-5.389;-6.44192
CP-1;45;7;-5.5969;-6.40376
CP-1;45;8;-5.81863;-6.72999
CP-1;45;9;-5.32963;-6.28268
CP-1;45;10;-5.35484;-6.47394
CP-1;46;1;-5.29829;-6.33676
CP-1;46;2;-4.44149;-5.60515
CP-1;46;3;-5.26546;-6.24892
CP-1;46;4;-5.00429;-5.97177
CP-1;46;5;-5.4192;-6.0382
CP-1;46;6;-4.41269;-5.44308
CP-1;46;7;-5.2822;-6.27596
CP-1;46;8;-4.94907;-6.04009
CP-1;46;9;-4.94612;-6.09962
CP-1;46;10;-5.59404;-6.28834
CP-1;47;1;-3.20462;-4.60261
CP-1;47;2;-3.84077;-5.07751
CP-1;47;3;-3.90726;-5.0885
CP-1;47;4;-3.43084;-4.67534
CP-1;47;5;-3.47927;-4.71509
CP-1;47;6;-4.11315;-5.00855
CP-1;47;7;-3.55158;-4.53763
CP-1;47;8;-4.20307;-5.17976
CP-1;47;9;-3.29454;-4.61575
CP-1;47;10;-3.54818;-4.57722
CP-1;48;1;-5.65009;-7.01133
CP-1;48;2;-6.02963;-7.36273
CP-1;48;3;-5.98756;-7.31924
CP-1;48;4;-5.70236;-7.12101
CP-1;48;5;-5.85953;-7.08772
CP-1;48;6;-5.60102;-6.90812
CP-1;48;7;-5.57675;-6.88685
CP-1;48;8;-5.41462;-6.70578
CP-1;48;9;-5.78879;-7.15538
CP-1;48;10;-5.78491;-7.03363
CP-1;49;1;-4.50609;-5.57768
CP-1;49;2;-4.59408;-5.16126
CP-1;49;3;-5.07724;-5.83585
CP-1;49;4;-5.48156;-6.04078
CP-1;49;5;-5.54505;-6.38109
CP-1;49;6;-5.07219;-5.69334
CP-1;49;7;-5.34806;-5.98643
CP-1;49;8;-5.00306;-5.64077
CP-1;49;9;-5.08644;-5.89271
CP-1;49;10;-5.42344;-6.05757
CP-1;5;1;-4.602;-5.61797
CP-1;5;2;-4.43887;-5.38207
CP-1;5;3;-4.83964;-5.69411
CP-1;5;4;-4.43202;-5.52305
CP-1;5;5;-4.77628;-5.68137
CP-1;5;6;-4.81486;-5.69975
CP-1;5;7;-4.16408;-5.07688
CP-1;5;8;-4.76308;-5.76308
CP-1;5;9;-4.69432;-5.70955
CP-1;5;10;-4.74007;-5.59707
CP-1;50;1;-4.18294;-5.26692
CP-1;50;2;-4.09722;-5.12519
CP-1;50;3;-4.12627;-5.02198
CP-1;50;4;-4.05698;-5.33997
CP-1;50;5;-4.11568;-5.25828
CP-1;50;6;-4.22151;-5.01835
CP-1;50;7;-4.08492;-4.95792
CP-1;50;8;-4.11095;-5.2424
CP-1;50;9;-3.98764;-4.91699
CP-1;50;10;-4.15093;-5.10694
CP-1;6;1;-5.0366;-5.98051
CP-1;6;2;-4.44997;-5.44809
CP-1;6;3;-4.4624;-5.63306
CP-1;6;4;-4.45863;-5.4771
CP-1;6;5;-4.40638;-5.42343
CP-1;6;6;-4.19493;-5.2656
CP-1;6;7;-4.69728;-5.72149
CP-1;6;8;-4.62864;-5.67279
CP-1;6;9;-4.31554;-5.30156
CP-1;6;10;-4.65669;-5.64319
CP-1;7;1;-5.22893;-6.0966
CP-1;7;2;-4.95007;-5.65219
CP-1;7;3;-5.10671;-5.85289
CP-1;7;4;-5.39929;-6.23065
CP-1;7;5;-4.4862;-5.72671
CP-1;7;6;-4.74741;-5.86057
CP-1;7;7;-5.39275;-6.01012
CP-1;7;8;-4.61299;-5.89272
CP-1;7;9;-4.30225;-5.74766
CP-1;7;10;-4.86192;-5.61301
CP-1;8;1;-4.77726;-5.5166
CP-1;8;2;-4.93429;-5.67699
CP-1;8;3;-4.95238;-6.03381
CP-1;8;4;-4.97755;-5.79728
CP-1;8;5;-4.79773;-5.84687
CP-1;8;6;-4.96731;-5.74971
CP-1;8;7;-5.24705;-5.97475
CP-1;8;8;-5.35379;-6.14881
CP-1;8;9;-5.00849;-6.11189
CP-1;8;10;-5.27938;-6.006
CP-1;9;1;-4.81141;-5.48683
CP-1;9;2;-4.63404;-5.45505
CP-1;9;3;-4.85022;-5.52138
CP-1;9;4;-4.36671;-5.06601
CP-1;9;5;-4.83119;-5.46221
CP-1;9;6;-4.91246;-5.55635
CP-1;9;7;-4.63789;-5.3176
CP-1;9;8;-4.13996;-5.29982
CP-1;9;9;-4.65754;-5.38384
CP-1;9;10;-4.87641;-5.54105
CP-10;0;1;-7.72065;-8.47278
CP-10;0;2;-7.59598;-8.99348
CP-10;0;3;-8.86015;-9.64181
CP-10;0;4;-8.57986;-9.22971
CP-10;0;5;-9.31529;-9.77568
CP-10;0;6;-8.01536;-8.8111
CP-10;0;7;-8.21021;-8.97201
CP-10;0;8;-8.70257;-9.23908
CP-10;0;9;-8.34229;-9.16014
CP-10;0;10;-7.87418;-8.90565
CP-10;1;1;-5.9876;-6.57856
CP-10;1;2;-6.44159;-7.2148
CP-10;1;3;-5.56809;-6.46078
CP-10;1;4;-6.74407;-7.14613
CP-10;1;5;-6.40793;-7.1608
CP-10;1;6;-5.56803;-6.47832
CP-10;1;7;-6.68788;-7.1867
CP-10;1;8;-6.23062;-7.08445
CP-10;1;9;-6.91498;-7.31309
CP-10;1;10;-6.72249;-7.13095
CP-10;10;1;-8.06251;-8.89214
CP-10;10;2;-7.52767;-8.44206
CP-10;10;3;-8.45296;-9.06752
CP-10;10;4;-8.46466;-9.2492
CP-10;10;5;-7.85723;-8.83085
CP-10;10;6;-8.14964;-8.91715
CP-10;10;7;-8.26899;-8.9363
CP-10;10;8;-8.17357;-8.32664
CP-10;10;9;-8.31477;-8.95175
CP-10;10;10;-8.08616;-8.70821
CP-10;11;1;-7.13378;-7.70299
CP-10;11;2;-5.80297;-7.19121
CP-10;11;3;-5.66042;-6.88992
CP-10;11;4;-5.63513;-6.7376
CP-10;11;5;-6.28387;-6.98933
CP-10;11;6;-5.37564;-6.81915
CP-10;11;7;-7.22922;-7.79107
CP-10;11;8;-5.51518;-6.59496
CP-10;11;9;-7.44062;-7.76472
CP-10;11;10;-5.08941;-6.24543
CP-10;12;1;-6.21363;-6.37653
CP-10;12;2;-4.90118;-6.47148
CP-10;12;3;-5.06893;-5.91065
CP-10;12;4;-4.50255;-5.62949
CP-10;12;5;-4.76771;-6.09165
CP-10;12;6;-4.52292;-6.16504
CP-10;12;7;-5.02725;-6.63016
CP-10;12;8;-4.43555;-5.86027
CP-10;12;9;-5.65475;-6.11827
CP-10;12;10;-5.03652;-6.59761
CP-10;13;1;-4.18589;-5.44253
CP-10;13;2;-4.6898;-6.03682
CP-10;13;3;-4.34747;-5.26597
CP-10;13;4;-4.44135;-5.7203
CP-10;13;5;-4.68925;-6.01947
CP-10;13;6;-4.73749;-6.07395
CP-10;13;7;-4.37554;-5.78039
CP-10;13;8;-4.70653;-5.92866
CP-10;13;9;-4.60579;-5.58674
CP-10;13;10;-4.24399;-5.52361
CP-10;14;1;-6.68829;-7.96097
CP-10;14;2;-6.12075;-7.61035
CP-10;14;3;-6.02899;-7.52513
CP-10;14;4;-6.2985;-7.4744
CP-10;14;5;-5.85131;-6.78287
CP-10;14;6;-6.05597;-7.50183
CP-10;14;7;-6.43611;-7.47492
CP-10;14;8;-6.63815;-7.84388
CP-10;14;9;-6.44352;-7.43423
CP-10;14;10;-6.08473;-7.54557
CP-10;15;1;-6.12231;-7.19774
CP-10;15;2;-6.74051;-7.90771
CP-10;15;3;-6.78218;-7.87626
CP-10;15;4;-6.01473;-7.1054
CP-10;15;5;-6.80245;-7.92053
CP-10;15;6;-5.95929;-7.3055
CP-10;15;7;-6.15474;-7.11181
CP-10;15;8;-6.39345;-7.3715
CP-10;15;9;-6.43901;-7.40607
CP-10;15;10;-6.47536;-7.39235
CP-10;16;1;-7.74274;-8.35571
CP-10;16;2;-7.80883;-8.30735
